,name,text
980,"2 Scoops: Blueberry, Pomegranate",Smoothie with Blueberry and Pomegranate
981,"3 Scoops : Guava, Mango, Apricot","Sorbet Style Gose with Pink Guava, Mangoes and Apricot"
982,Frozan White Chocolate-Raspberry,White Chocolate Raspberries SLUSHEE
983,Try It,Good friend and excellent home brewer Tyler Kidd designed this recipe and helped brew this beer. Based off a legendary west coast IPA but pulled back… Read More
984,Double Scoop : Morello Cherry,Sorbet Style Gose with lots and lots of Morello cherries
985,Double Barrel King Molokai (Laird's Apple Brandy/Bourbon),"Laird's Apple brandy/Bourbon Barleywine (70% Barleywine/30% Stout) with Kona coffee, Macadamia, Hazelnut, vanilla and toasted coconut"
986,Tyger Blud (Andall),"Tyger Style Sweet n Sour ale with Blood Orange, Blood Peach and Kumquat"
987,I Am CM Bryant's Daughter Nalani,"Imperial Chocolate stout with Italian Espresso coffee, cacao nibs, toasted coconut and bourbon aged honey"
988,"3 Scoops : Strawberry, Peach, Pineapple","Sorbet style Gose with Strawberries, White Peaches and Pineapples"
989,Morning Juice 8,"Unfiltered Berliner Weisse with Dragon Fruit, Blackberry and Raspberry"
990,Amber Schook Limonsito,Amber Schook Lemonade Style Gose with lots of APRICOT
991,Coconut Candy Den,"Imperial Coffee Stout with toasted Hawaiian coconut, Tahitian vanilla beans and cacao nibs"
992,"3 Scoop : Coffee, Coconut, Hazelnut (Andall)",Imperial Coffee Stout with Hazelnut and Toasted coconut.
993,Barrel Aged Tootsie Roll,Barrel aged Barleywine with cacao nibs and toasted Almonds
994,GoT Joose,"Special Game of Throne Joose with Magenta Dragonfruit, Passionfruit, Blood peach and black Lava salt"
995,Triple Strawberry Popsicle,Popsicle style Gose with Triple STRAWBERRIES
996,Limonsito : Mango (Andall),Lemonade style Gose with mangoes
997,Gator Boots,Kettle sour in the vein of an imperial berliner.
998,"3 Scoops : Mango, Peach, Orange","Sorbet style ale with mangoes, peaches and blood oranges"
999,Eat An Apricot Sally,Joose gone Wild (Ale) with Apricot
1000,Trombone Adam: Karl's Massage Kitchen,"After a long day of stress, step into Karl's Van/Massage Kitchen/Rap Studio for a complimentary massage. Much like Karl's experienced hands, the loads… Read More"
1001,Double Raspberry Imperial Popsicle,Imperial Popsicle with DOUBLE Raspberries
1002,Purple Yoshi,Popsicle Gose with Wild blackberries and Blueberries
1003,Double Blood Peach Popsicle,Popsicle style with double Blood peaches and blood orange
1004,Passionfruit Mangito (Andall),"Cuban Style Gose with Passionfruit, mangoes, lime juice and Habenero"
1005,Petty Larceny Triple Dry Hopped With Galaxy,Our perennial session IPA but this time triple dry hopped with Galaxy hops.
1006,Imperial Joose Is Loose,"Imperial Gose with Morello cherries, raspberries, blood orange and Meyer lemon"
1007,Jillian (Andall),"Jillian is the Queen of ADJUNCTS. She's an Imperial Milkstout with a blend of 3 different coffee beans, Hazelnut, Nutmeg, Vanilla beans, toasted coconut,… Read More"
1008,Double Lychee Creamsicle,"Creamsicle Gose with DOUBLE Lychee, orange vanilla"
1009,"3 Scoops : Passionfruit, Blueberry, Wild Blackberry","Sorbet style Smoothie with Passionfruit, Blueberries and Wild Blackberries"
1010,GOT Blood Magic,"Game of Throne Joose with Raspberries, Mangoes and Passionfruit"
1011,Canadian Phil B ! ( Phil B Breakfast with Sasquatch in the Early Morning in the Fall of 1969 somewhere in the wood deep deep in British Columbia) (Andall),"Imperial Breakfast Stout with Bewdly Smoked Bacon coffee beans, Dark Canadian maple syrup, Ivory Coast cacao nibs, Tahitian vanilla beans and 1 hot Ontario… Read More"
1012,Rum Barrel Banana Foster Chocolate Fudge,"Rum Barrel Imperial Chocolate Stout with banana, cinnamon, vanilla and cacao nibs"
1013,Petty Larceny Triple Dry Hopped With Vic Secret,"Our classic session IPA, Petty Larceny, but this time dry hopped three times with Australian Vic Secret hops."
1014,Red & Black Popsicle,Popsicle Gose with Raspberries and Blackberries
1015,"Imperial 4 Scoops: Passionfruit, Dragonfruit, Pink Guava, Mango","Passionfruit, Dragonfruit, Pink Guava, Mango melted Sorbet/Smoothie"
1016,"Limonsito : Apricot, Peach","Lemonade style Gose with Peaches, Apricots"
1017,Chocolate Raspberry Truffle Fudge,"Imperial Chocolate Stout with Cacao nibs, White chocolate and Raspberries"
1018,Rachel Limonsito (Andall),"Lemonade Style Gose with Red Raspberries, Black Currant and Cherries"
1019,"Frozan 4 Scoops: Raspberry,Strawberry, Rhubarb, Banana",Sluuuuuuuuuuuushy
1020,San Juan Lemonada,San Juan style lemonade with mangoes and pineapples. All profit from this beer go toward victims of hurricane Maria in Puerto Rico
1021,Pants Optional (Andall),"Imperial Stout with Carolina Hype Society Kona coffee, Aslin/ Defenderoftheveil hazy cloudy coconut, Kale Knowles it all Carolina Reaper, Steve English… Read More"
1022,Elvis Fluffernutter,"Elvis favorite sandwich with JIF peanut butter, toasted marshmallow and chocolate banana"
1023,"Triple 3 Scoops: Pineapple, Coconut, Strawberry",Pineapple coconut strawberry melted sorbet
1024,Thomas the Joose Train,Insanely Juicy hazy unfiltered IPA w/mangoes and blood orange
1025,Death By Coffee (Andall),Imperial Stout with quadruple shot of cold pressed Vietnamese coffee
1026,Infinity Stone Fruit Joose,Sorbet Berliner Weisse with Peach and Apricot
1027,Raz Coconut Truffle (Andall),
1028,JMFP Khalil The Real Deal (Andall),"Imperial Oatmeal Stout with Khalil The Real Deal coffee, John Mutha Farking Paradee brought some Saigon cinnamon back from Nam, cacao nibs, Ancho chili/Habeneros,… Read More"
1029,Strawberry Kiwi Popsicle,"Popsicle style Gose with Strawberries, Kiwi, Blood Orange and Pink Sea Salt"
1030,Double Fudge : German Chocolate Cake,"Double Fudge thick/fudgy imperial stout with cacao nibs, Tahitian vanilla beans and toasted coconut"
1031,Peter Drunklage Breakfast,"Imperial Chocolate Stout with special house blend coffee beans/ground, Belize cacao nibs, Saigon cinnamon, Tahitian vanilla, dark Vermont maple syrup… Read More"
1032,Creamsicle,Creamsicle Gose with Orange Vanilla
1033,Guava Mangito (Andall),"Cuban Style Gose with Pink Guava, Mangoes, fresh lime juice, habenero and sea salt"
1034,I Have Fluffernutter Nipples Greg,I Have Nipples Greg Imperial Milkstout with JIF Peanut Butter and toasted marshmallow
1035,Niku Azam,"Popsicle Style with Strawberries, Mangoes and Pineapple"
1036,Pineapple Popsicle,"The ANdall popsicle, pineapple flavor."
1037,Pie For Breakfast,"Special Porter with Four & Twenty Blackbirds Coffee Custard pie, Cafe Grumpy Heartbreaker coffee beans and maple soaked vanilla beans"
1038,Stonefruit Creamsicle,Creamsicle Gose with White Peaches Apricot Orange Vanilla
1039,Dem Beetuz Boiz: Type One,"Bem Beetuz Boiz Imperial Milkstout with more coffee, coconut plus Hazelnut"
1040,Kit Kat Porter,Porter with Kit Kat bar and Hazelnut
1041,"3 Scoops : Chocolate, Strawberry, Coconut (Andall)","Imperial Stout with Cacao nibs, Coconut and Strawberries"
1042,Harry Porter's Breakfast (Andall),"Porter with Rostov's Jamaican Blue Mountain coffee beans, Tahitian vanilla , Saigon cinnamon, Graham crackers and dark maple syrup"
1043,Pink Guava Passionfruit Melted Sorbet,Melted Sorbet with Pink Guava and Passionfruit
1044,"3 Scoops: Pineapple, Coconut, Raspberry",Pineapple Coconut Raspberry melted Sorbet
1045,Cahoon Almond Joy,"Imperial Stout with Toasted coconut, Almonds and cacao nibs"
1046,Raspberry Imperial Popsicle,Imperial Popsicle with raspberries
1047,Miguel Melted Sorbet,"Sorbet sour ale with Pomegranate, Blackberries and Raspberries"
1048,Peanut Butter & Jam (Blueberry),"Chocolate stout with Reese's Peanut Butter, cacao nibs and blueberries"
1049,Pink Yoshi,Fruit Joose with Strawberries and Pineapple
1050,Kelci Gryphon(Andall),Wake n Bake Imperial Oatmeal Stout with Vietnamese coffee beans and toasted coconut
1051,Yellow Yoshi,"Fruit smoothie with Mango, Passionfruit and pineapple"
1052,"Matt ""BW"" Hyatt",Bourbon Barrel Aged Chocolate Barleywine with toasted marshmallow
1053,PilOREOerection,Our thick vanilla & coffee imperial stout conditioned on a truck load of crushed Oreos. Get dunked on!
1054,"2 Scoops: Blueberry, Raspberry",Sorbet style ale with Blueberries and Raspberries
1055,B A Tolson,"Barrel Aged barleywine with Rostov's Jamaican Blue Mountain coffee beans, Honduras cacao nibs and toasted coconut"
1056,Shitter's Full,"Chocolate stout with Reese's peanut butter, JIF peanut butter, strawberries and Pink Himalayan sea salt"
1057,White Peach Popsicle,
1058,Margaret Dreamsicle (Apricot),Dreamsicle style Sour IPA with apricots
1059,Uncle Graham,"Imperial Stout with Rostov's Dark French roast coffee beans, Madagascar vanilla beans, Graham crackers, Jet-Puffed Jumbo Marshmallows and dark Vermont… Read More"
1060,Double Blackberry Imperial Puffsicle,Imperial Marshmallow Popsicle with DOUBLE Blackberries
1061,Kromer Juice : Prickly Pear (Andall),Mike Kromer magic lemonade with Passionfruit and Prickly Pear
1062,Uncle Scruggs (Andall),"A blend of barrel aged and non barrel aged Imperial stout with espresso coffee beans, toasted coconut and Virgina dark maple syrup"
1063,Ryan Spain 10K Joose (Andall),"Smoothie Style Gose with White Peaches, Mangoes and Passionfruit"
1064,Double Passionfruit Popsicle,Popsicle style Gose with DOUBLE Passionfruit and Blood Orange
1065,Double Blueberry Popsicle,Smoothie with Double Blueberry and Blood Orange
1066,Double Lychee Imperial Popsicle,Imperial Popsicle Gose with Double Lychee
1067,Tyger Blud 3.0 (The Andall),"Matt Tyger Gose style with Tayberries, Prickly Pear, Meyer Lemon and Pink Himalayan sea salt"
1068,COCO-Pil-OREO-erection,As if Pil-OREO-erection wasn't enough. We threw toasted coconut in the mix and this truly is dessert in a glass. Enjoy it while it lasts!
1069,Kromer Juice : Watermelon (Andall),Mike Kromer magic lemonade with passionfruit and watermelon
1070,Peach Mangito (Andall),"Cuban Style Gose with White peaches, Meyer lemon, Habeneroes and Himalayan Pink sea salt"
1071,Haven't Theen the Paper Boy In A While,"Guess who?? Just lonely here, thinking about the muscly arm paper boy. Wish he'd come by and bring me some good news! Here's your good news, a 100% Citra… Read More"
1072,Tyger Blud 2.0 (Andall),"Matt Tyger Style sweet n sour Ale with Blood Orange, Blood Peaches and Red Raspberries"
1073,Rum Barrel Aged Basic Girl,'Tis the season
1074,"3 Scoops : Lychee, Lemoncello, Guava","Berlinerweisse with Lychee, Lemoncello and Guava."
1075,Ryan Stumpf Chocolate Cake,"Imperial Chocolate Stout with Ryan Stumpf grandmother long lost Chocolate cake recipe. Sumatra Mandheling coffee, Organic Cacao nibs, Hazelnut, vanilla… Read More"
1076,Jeremiah Was A Bullfrog,"Imperial Stout with Tahitian vanilla, cacao nibs, coffee, Dark maple syrup and Ancho chili"
1077,Court Appointed Attorney,"Attorney fees are expensive and ain't no body got time for that. The court appointed attorney isn't the strongest, but they got a lot going on. You understand… Read More"
1078,Dragonfruit Mangito (Andall),"Cuban Style Gose with Dragonfruit, Mangoes, Lime Juice, Habeneroes and Sea Salt"
1079,Sandusky Joose,"Gose with Morello cherries, blood orange, Meyer lemon and calamondin. This Joose for you Sandusky, Ohio"
1080,Triple Puff Puff Pass: Raspberry,Sour Triple with triple marshmallow and raspberries
1081,Bourbon Barrel Raspberry Fluffernutter,"Bourbon barrel Imperial Stout with JIF Peanut butter, toasted marshmallow, vanilla and raspberries"
1082,Jamaican Nightmare (Andall),"Imperial Stout with Jamaica Blue Mountain coffee beans, toasted coconut and Madagascar vanilla beans"
1083,Mangito (Andall),"Cuban Style Gose with mango. lime juice, habenero and sea salt"
1084,Barrel Aged Double Fudge: Toasted Coconut,Bourbon barrel aged Double Fudge thic/fudgy imperial stout with cacao nibs and toasted coconut
1085,I Have Coconut Nipples Greg,"Don't lie to me Focker, did you put coconuts on my nipples!? Our decadent vanilla Imperial Milk Stout treated with tons of Coconut!"
1086,Mulan Szechuan Sauce (Andall),"Sorry Rick and Morty fans, this beer doesn't taste anything like a Mulan Szechuan sauce. It's an Imperial Oatmeal stout with Virginia dark maple, organic… Read More"
1087,Let Them Eat Cake,Chocolate Cake stout with Strawberries and Vanilla
1088,Ivanna Sanjay Lassi,Ivanna and Sanjay favorite fruits combo LASSI. 1 part Mangoes and 2 part raspberries and a touch of honey/vanilla ( contain lactose sugar)
1089,Jolly Rancher,"Gose with Raspberries, Mangoes, Passionfruit, Calamondin and Paw Paw"
1090,"2 Scoops: Raspberry, Apricot","Raspberries, Apricot melted sorbet"
1091,Berries Limonsito (Andall),"Lemonade style Gose with Strawberries, Tayberries, red Raspberries and Blueberries"
1092,Protein Shake,Chocolate stout with Jif peanut butter and strawberry jam
1093,Joosey Bae,Michelle Wright special Gose with Morello cherries and Mirabelle plums
1094,Dan Noll Turn 40,"Gingerbread stout with Sumatra Mandheling coffee, Vanilla, Cinnamon and dark Vermont maple syrup"
1095,Bourbon Barrel Aged Sexy Alge Canadian Breakfast Stout,Bourbon barrel aged imperial Oatmeal coffee stout with Tahitian vanilla and DOUBLE Canadian dark maple syrup
1096,Blackberry Currant Schmoojee Puffsicle,Blackberry Puffsicle/ Currant Schmoojee Puffsicle blend
1097,Peanut Butter 'n Jam (Strawberry),"Chocolate stout with Reese's Peanut Butter, Belize cacao nibs and STRAWBERRIES"
1098,Hey Dustin Get Off My Shank,"Imperial Oatmeal Stout with Nicaraguan organic coffee, Saigon Cinnamon, Tahitian Vanilla and dark Vermont maple soaked with dry Virginia bacon"
1099,Johnson's Joose (Andall),"RVA style Gose with Apricot (50%), Red Prickly Pear (40%), Pink Guava (8%) and Blood Orange (2%)"
1100,"3 Scoops : Dragonfruit, Passionfruit, Pink Guava","Sorbet Style Gose with Dragonfruit, Passionfruit and Pink Guava"
1101,New Boot Goofin',Kettle sour primarily used in blending for Andall's. Thought you all might like to try it before it is fruited.
1102,I Am Cm Bryant's Friend Ryan,"Imperial Chocolate Stout with Jamaican Blue Mountain coffee, Hazelnuts, toasted coconut, cinnamon and bourbon barrel aged honey"
1103,Drive Thru Daiquiri: Bangkok Frankiee,"Gose with Passionfruit, Pink Guava and White/Magenta Dragonfruit"
1104,Ivoren Chinola (Andall ),"Caribbean SPiCY Gose with Passionfruit, mangoes and Calamnsi"
1105,Drive Thru Daiquiri: Hurricane,"Our mini series Jooses/Sips collab with Parish Brewing. We try to replicate the famous Hurricane cocktail w/Passionfruit, Blood Orange and Rum soaked… Read More"
1106,Limonsito : Passionfruit (Andall),Lemonade style Gose with Passionfruit
1107,Double Shot WaWa,Imperial Stout with Double Espresso coffee and cinnamon vanilla maple syrup
1108,"Virginia Cobbler: Cherry, Apricot","Virginia style cobbler with cherries, apricot and touch of vanilla/cinnamon"
1109,Triple Cherry Popsicle,Popsicle Gose with TRIPLE Morello cherries
1110,Larceny ( Kromer Lemonade ),Larceny IPA with Kromer Lemonade
1111,Breakfast Delegate,Robust Porter with Canadian Maple syrup and smoked Bacon coffee beans
1112,Camden Strong (Andall),This special beer is for Camden. It's a fruity Gose with Morello cherries and Passionfruit. WE LOVE YOU CAMDEN
1113,Blueberry Imperial Puffsicle,Marshmallow Imperial Gose with blueberries and vanilla
1114,Mango Passion,Berliner Weisse with mangoes and passionfruit
1115,Apricot Orange Fizz,"Cocktail style Gose with Apricot, Mandarin orange and Blood orange"
1116,"3 Scoops : Apricot, Pineapple, Strawberry","This 3 Scoops Sorbet inspired by Mathew Davis favorite fruits ( Apricot, Pineapple and Strawberries)"
1117,Henry's Breakfast German Chocolate Cake,"Imperial Stout with Rostov's Jamaican Blue Mountain coffee beans, Honduras Cacao nibs, Tahitian vanilla beans and toasted coconut"
1118,Margaret Dreamsicle (Stonefruit),Dreamsicle sour IPA with Peaches Apricot Orange Vanilla
1119,"Virginia Cobbler: Cherry, Blueberry","Cobbler style Gose with Morello cherries, blueberries and touch of cinnamon/vanilla"
1120,Single Scoop: Raspberry,Sorbet style ale with raspberries
1121,Kromer Juice : Strawberry Rhubarb (Andall),"Mike Kromer magic lemonade with Passionfruit, Strawberries and Rhubarb"
1122,"4 Scoops : Raspberry, Strawberry, Rhubarb, Banana","Smoothie-style with raspberries, strawberries, Rhubarb and banana."
1123,Hard In the Paint (Peach Lemonade),Hard In The Paint Double IPA with White Peaches lemonade
1124,Double Peach Imperial Popsicle,Imperial Popsicle Gose with Double Peaches
1125,Bourbon Barrel Aged Matt Keithley And the Magic Apron,"Bourbon Barrel aged Imperial Chocolate Stout with Rostov's French Vanilla coffee, toasted marshmallow and toasted coconut"
1126,Laird's Apple Brandy Tootsie Roll,"Laird's Apple Brandy barleywine with Honduras cacao nibs, toasted almonds and Tahitian vanilla"
1127,Pusser's Painkiller,"Famous British Virgin Islands Pusser's Painkiller cocktail with Pineapple, blood orange, Pusser's Rum soaked toasted coconut and a touch of maraschino… Read More"
1128,"3 Scoops: Strawberry, Chocolate, Pineapple",Strawberry Chocolate Pineapple melted sorbet
1129,Bourbon Barrel Aged Maple And Cinnamon Pancake,Bourbon barrel aged imperial stout with Vermont dark maple and Saigon cinnamon
1130,Catanzaro (Andall),The Great Don of Sicilian Julian Catanzaro favorite breakfast with Don Corleone aka John Mutha Farking Paradee. Chocolate covered Marzipan and Double… Read More
1131,"Limonsito : Apricot , Raspberry (Andall)",Lemonade style Gose with 70 % Apricot and 30 % Red Raspberries
1132,MK Ultra Joose,"CIA experimental joose in the '50s. contain coconut puree, Passionfruit and a touch of watermelon"
1133,I Have Coffee Chocolate Nipples Greg,I Have Nipples Greg Imperial Milkstout with Rostov's French Vanilla coffee and a touch chocolate
1134,Annie's Reese's,Chocolate Stout with Reese's Peanut Butter Cup and Frangelica soaked Brazilian cacao nibs
1135,Chancho's Passion For Bloobz,"Popsicle style Gose with passionfruit, Blueberries and Pink Himalayan sea salt"
1136,Hawaiian Nightmare (Andall),"Good Nightmare Imperial Coconut Coffee stout with Hazelnut and Macadamia
......Liquid candy bar...."
1137,JOSHEE,Juiced Gose with lots of PASSIONFRUIT
1138,Tyger Blud 6.0,"Sorbet style smoothie with Strawberries, Blood Peaches, Blood Orange and Meyer Lemon"
1139,Brian Henry Popsicle,Popsicle Gose with Passionfruit and Raspberries
1140,Imperial Unicorn Joose,"Imperial Gose with Magenta Dragonfruit, Passionfruit and Pink Guava"
1141,Morning Juice 11,"Unfiltered Berliner Weisse with mangoes, blood orange, Mandarin orange and habenero
This one is spicy"
1142,Kale Knowles Berry Popsicle (Andall),"Kale Knowles travel the world to find the best blueberries, blackberries, raspberries for this Popsicle Gose. He even spent a year in Afganistan, where… Read More"
1143,Cherry Pie (Andall),Cherries cherries cherries cherries cherries cherries
1144,Red Yoshi,Fruit smoothie with raspberries and peaches
1145,Can I Have Your Number (Andall),"Popsicle style Gose with Pink Guava, Blood Orange and Pink sea salt"
1146,Kromer Juice: Plum,Mike Kromer magic lemonade with Passionfruit and plum
1147,Ali PB & J,Cold brewed coffee Oatmeal stout with Jif PEANUT BUTTER and Smucker's Concord grape jelly
1148,Mind Playing Trick On Me,"Mind Games Double IPA Andalled with Passionfruit, Mangoes and Calamondin"
1149,Oh Honey! Redcurrant,Redcurrant honey lemonade
1150,Bourbon Barrel Aged Blanton's German Chocolate Cake,"Bourbon Barrel Aged Imperial Chocolate stout with Belize cacao nibs, Tahitian vanilla and toasted coconut"
1151,Jennifer(Andall),"Berliner Weisse with Apricots, Blood Peaches and mangoes"
1152,Purple Drank (Andall),Fruit juice style Gose with Blueberries and Blackberries
1153,Double Blueberry Imperial Puffsicle,Imperial Marshmallow Popsicle wit DOUBLE Blueberries
1154,Piloerection W/Coconut,Piloerection Imperial COFFEE stout with toasted coconut
1155,Blackberry Currant Imperial Puffsicle,Imperial Marshmallow Popsicle with Blackberries and redcurrant
1156,Summer Showers,"Brewed with Citra and Australian Summer hops, this soft hazy IPA is bursting with cantaloupe aromas. Refresh yourself with a shower of ripe melon, citrus,… Read More"
1157,Double Guava Popsicle,Popsicle style Gose with double Guava and blood orange
1158,"2 Scoops: Mango, Passionfruit",Sorbet style with mangoes and passionfruit
1159,Victoria Froyo,"Victoria Style Lassi with Wild Blackberries, Apricot and Plum. CONTAIN LACTOSE"
1160,"Imperial 2 Scoops: Passionfruit, Blueberry",Imperial Sour with Passionfruit and Blueberry
1161,Chief Skvoretz (Andall),"Big Russian Imperial Stout with Virgina dark maple syrup, Honduras Capucas medium roast coffee beans, Peruvian cacao nibs, unsweetened Carob chips, Tahitian… Read More"
1162,Kromer Juice : Blood Peach (Andall),Mike Kromer magic lemonade with Passionfruit and Blood Peaches
1163,"Triple Puff Puff Pass: Morello, Montmorency","Sour Triple with Marshmallow, Morello & Montmorency cherries"
1164,Bourbon Barrel Aged Chocolate Fluffernutter,"Bourbon barrel aged Imperial chocolate stout with JIF Peanut Butter, toasted marshmallow, Brazilian cacao nibs and Tahitian vanilla"
1165,Will Kennedy (Andall),Brett Berlinerweisse with Mangoes and lime juice
1166,Raspberry Redcurrant Melted Sorbet,Sorbet sour with raspberries and Redcurrant
1167,Pineberry Melted Sorbet,Pineapple Strawberry melted Sorbet
1168,Piloerection w/ Chocolate S'more,Piloeretion imperial coffee stout with chocolate s'more
1169,Tyger Blud 4.0 (Andall),"Gose with blood orange, passion fruit, and mango."
1170,Kromer Juice : Red Currant (Andall),Mike Kromer magic lemonade with Red Currant and Passionfruit
1171,Maple Barrel Papa Kahuna,"Maple Barrel Imperial Stout with Kona coffee, Hazelnut, Macadamia and toasted coconut"
1172,Kromer Juice : Tayberry (Andall),Mike Kromer magic lemonade with passionfruit and tayberries ( blackberry-raspberry)
1173,Mango Raspberry Melted Sorbet,Sorbet sour ale with mangoes and raspberries
1174,"Rum Barrel Grasso Melted Ice Cream (Chocolate, Strawberry, Vanilla)","Rum barrel Imperial Chocolate stout with Cacao nibs, Strawberries and Vanilla"
1175,Ice Truck Killa,"Dexter special Joose with Passionfruit, fresh coconut, Pineapple and Dragonfruit"
1176,Ashley Gose Girl,Gose with Passionfruit and White Peaches
1177,Dem Beetuz Boiz: Type 2,"Dem Beetuz Boiz Imperial Milkstout with more coffee, coconut plus dark chocolate"
1178,Eddy's Mangito Juice,"Cuban Style Gose with mango, lime juice and Cayenne pepper"
1179,"3 Scoops : Dragonfruit, Plum, Passionfruit","Sorbet style Gose with Magenta Dragonfruit, Marabelle Plum and Passionfruit"
1180,Anna Banana Smoothie,"Anna Banana special smoothie with Raspberries, Strawberries, Banana and a touch of Pink Himalayan sea salt"
1181,Double Coffee Delegate,Robust Porter with double shot of Vietnamese Chon (Weasel) coffee beans
1182,Creamsicle (Pineberry),Creamsicle Gose with Strawberries Pineapple Orange Vanilla
1183,"Double Barrel Swiss Chocolate Macaroon( Laird's Apple Brandy, Bourbon)","Laird's Apple Brandy/ Bourbon Imperial Chocolate Stout with Swiss Almond coffee, Dark/White chocolate and coconut chips"
1184,Trombone Adam: Bill And Tez's Sensual Blend,""" Get repregnatized with this smooth sensual pairing of coconut almond and white chocolate. It's blast off time!"""
1185,Trickyvan Limonsito (Andall),Lemonade style Gose with Lychees and pineapples
1186,"Creamsicle (Peach, Mango)",Creamsicle Gose with Peach Mango Vanilla
1187,Frozan Hurricane,"Hurricane slushee w/ Blood Orange, Passion Fruit, and Rum-soaked cherries."
1188,Canadian Breakfast Brown,"Imperial Coffee Brown with cinnamon, vanilla and dark Canadian maple syrup"
1189,"Imperial 3 Scoops: Raspberry, Strawberry, Rhubarb","Imperial Sorbet with raspberries, strawberries and Rhubarb"
1190,"J Hud 4 Scoops: Strawberry, Chocolate, Pineapple, Coconut","J Hud special 4 scoops Sorbet( Strawberries, Chocolate, Pineapples, Coconut)"
1191,Strawberry Kiwi Mangito (Andall),"Cuban style Gose with Strawberries, Kiwi, Mangoes, fresh lime juice, sea salt and habeneroes"
1192,Hunahpu Andall,Hunahpu Imperial Stout Andall with Apple Brandy soaked COCONUT and Vietnamese Weasel coffee beans
1193,Bourbon Barrel Chocolate Marshmallow Fudge,Bourbon barrel Imperial chocolate stout with toasted marshmallows and Tahitian vanilla
1194,Chile Mocha (Andall),"Mexican Imperial stout with Mexican Primo Altura Coffee beans, Agave nectar, Cacao nibs, Cinnamon, Vanilla, Cayenne and Ancho chiles"
1195,Black & Red Puffsicle,Marshmallow Popsicle with Blackberries and Raspberries
1196,Southern Peach Limonsito (Andall),Lemonade Style Gose with White Peach and Mandarin Orange
1197,Metaxas (Andall),"Barrel Aged Imperial Stout with toasted coconut, cacao nibs, Madagascar vanilla, Saigon cinnamon and Mikey Metaxas secret Ancho/Habenero chilis blend"
1198,"3 Scoops : Strawberry, Pineapple, Coconut",Sorry EVERYONE. This beer is being recalled. Please contact the brewpub. we will make it right for you. Sorry again for the bad beer
1199,Barrel Aged Konku,Barrel aged Konku
1200,Jose Lopez,Mexican style popsicle with Red Prickly pear and Apricot
1201,"Imperial Dreamsicle (Pineapple, Strawberry)",Dreamsicle DIPA with Pineapples and Strawberries
1202,Chon Enta Da Stage With Coconut And Maple(Andall),"Enta Da Stage our Bourbon barrel Imperial Stout aged in Willett barrel with Ban Me Thuot Weasel coffee, toasted coconut and dark Vermont maple syrup"
1203,Frozan Peach Creamsicle,Peach Creamsicle slushee
1204,Triple Blackberry Popsicle,Popsicle Gose with TRIPLE wild Blackberries
1205,Triple Strawberry Triple Margaret Dreamsicle,Dreamsicle Sour Triple IPA with TRIPLE Strawberries orange vanilla
1206,Sorbete De Abril (Andall),"Sorbet Style Gose with Watermelon, Prickly Pear, Pink Guava, Passionfruit and Pink Himalayan sea salt"
1207,"Triple 3 Scoops: Pink Guava, Passionfruit, Mango","Pink Guava, Passionfruit, Mango smoothie"
1208,Virginia Cobbler: Double Blueberry,Cobbler style Gose with DOUBLE Blueberries and cinnamon/vanilla
1209,Mandy Limonsito (Andall),Lemonade Style Gose with passionfruit and mangoes
1210,Mango Guava Popsicle (Andall),"Popsicle style Gose with mangoes, Pink Guava and Blood Orange"
1211,"3 Scoops : Dragonfruit, Passionfruit, Mango","Sorbet style Gose with Magenta Dragonfruit, Passionfruit and Mangoes"
1212,"For ""Eva"" Young","Creamsicle Gose with Raspberries, Passionfruit, Blood Orange and Vanilla"
1213,Piece of the Action ( Peach Apricot Dreamsicle ),"Piece of the Action all Mosaics IPA with Peach, Apricot, Blood Orange and Vanilla"
1214,"3 Scoops: Pineapple, Coconut, Blueberry",Pineapple coconut blueberry melted sorbet
1215,Isuck (Andall),"Imperial Stout aged in Willett Barrel with Kona Coffee, Hazelnut, dark Vermont maple syrup, toasted coconut and ancho chili"
1216,Anna (Banana) Nastasi,"Anna (Banana) Nastasi special Popsicle with Papaya, Apricot and Passionfruit"
1217,Jamaican GBS,"GBS with Rostov's Jamaican Blue Mountain coffee, Cacao nibs, toasted coconut and dry Scotch Bonnet chili"
1218,Margaret Imperial Dreamsicle (White Peach ),Imperial Dreamsicle sour Double IPA with White Peaches Orange Vanilla
1219,Red & Blue Melted Sorbet Ice,Melted Sorbet Imperial Gose with Raspberries and Blueberries
1220,Tiramisu,Imperial Chocolate stout with espresso coffee and vanilla
1221,Chocolate Tiramisu,"Chocolate stout with Honduras Cacao nibs, Tahitian vanilla and a touch of espresso coffee"
1222,Frozan Pineapple Upside-Down Cake,
1223,Raspberry Pineapple Puffsicle,"Marshmallow Popsicle Gose with Raspberries, Pineapple and a touch of vanilla"
1224,Thanksgiving Cobbler,Special Thanksgiving cobbler with blueberries and Pomegranate
1225,"3 Scoops : Raspberry, Key Lime, Passionfruit","Sorbet style with Raspberries, Key Lime and Passionfruit"
1226,Stonefruit Tang,"All the Action Imperial IPA with Apricot, White Peaches and Tangerine"
1227,Frozans Double Peach Lassi,"Lassi Style Slushee with DOUBLE Peaches, fresh Yogurt, vanilla and honey"
1228,Zeke Nutella the Pug (Andall),"Chocolate Milkstout with Reese's Peanut butter, Dark coffee chocolate and Hazelnut"
1229,Eat A Peach Jeremy,Wild ale with Fresh Georgia peaches
